_Abbreviation_,name,address
_whc_,wuhan cluster,NA
_gxc_,guangxi cluster,NA
_lfc_,The Life Church and Missions Singapore,146B Paya Lebar Road
_yth_,Yong Thai Hang,24 Cavan Road
_gdh_,Grand Hyatt Singapore,10 Scotts Rd
_gca_,Grace Assembly of God,1 Bukit Batok West Ave 4
_slt_,Seletar Aerospace Heights construction site,Seletar Aerospace Heights construction site
_wzl_,Wizlearn Technologies Pte Ltd,10 Science Park Road
_sfr_,private dinner function at SAFRA Jurong,SAFRA Jurong
_bld_,boulder+ Gym,12 Kallang Avenue
_msd_,Masjid Al Muttaqin,5140 Ang Mo Kio Ave 6
_pcf_,PCF Sparkletots Preschool @ Fengshan Blk 126,126 Bedok North Street 2
_dvc_,Dover Court International School,301 Dover Road
_spc_,SingPost Centre,10 Eunos Road 8
_wdb_,The Wedding Brocade,1 Yishun Industrial Street 1
_sdp_,S11 Dormitory @ Punggol,2 Seletar North Link
_wlb_,Wilby Residences,25 Wilby Road
_hrs_,Heroâ€™s,69 Circular Road
_tgd1_,Westlite Toh Guan dormitory,18 Toh Guan Road East
_lam_,Lee Ah Mooi Old Age Home,1 Thomson Lane
_sgk_,dormitory located at 55 Sungei Kadut Loop,55 Sungei Kadut Loop
_mst_,Mustafa Centre,145 Syed Alwi Road
_mxw_,construction site at Maxwell MRT station,50 Neil Road
_kps_,Keppel Shipyard,51 Pioneer Sector 1
_clv_,Ce La Vi,1 Bay Front Avenue
_crk_,Cricket Club,A Connaught Drive
_glr_,construction site at Project Glory,50 Market Street
_sgt_,Sungei Tengah Lodge,500 Old Choa Chu Kang Road
_tgd2_,Toh Guan Dormitory,19A Toh Guan Road East
_ccr2_,Cochrane Lodge II,49 Admiralty Road West
_org_,The Orange Ballroom,845 Geylang Road
_tpn_,Tampines Dormitory,2 Tampines Place
_ccr1_,Cochrane Lodge I,51 Admiralty Road West
_btr_,construction site at 6 Battery Road,6 Battery Road
_lil_,Little Gems Preschool,3 Ang Mo Kio Street 62
_krj_,Kranji Lodge,12 Kranji Road